商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
【买一送一】自带胸垫新款睡衣女士夏季宽松条纹学生家居服两套装,230711-041119917113856,已发货，退款成功,"81.6	","5.0	","0.0	","76.6	","76.6	","1	",2023/7/12 1:39,"	","498216278749	","SD1104灰色+黄色 【实发两套,XL 建议110-125斤","1414354618501	",#dd#230711-077846291262951#18059530840#2023-07-11#478751201874#26.39##;,退款成功,"777154276153255	",申通快递,2023/7/11 15:05,否,,"	",
粉色工装裤女夏季薄款高腰显瘦垂感阔腿窄版休闲美式速干运动裤子,230711-339172443763775,已发货，退款成功,"63.58	","5.0	","0.0	","58.58	","58.58	","1	",2023/7/12 1:39,"	","498392472044	","粉色加长-优质不起球,XL","1415115593725	",#dd#230711-500894288702951#18059530840#2023-07-11#490548426571#22##;,退款成功,"777154276150275	",申通快递,2023/7/11 15:02,否,,"	",
胖mm短裤女蕾丝小个子速干假两件遮肉休闲裤清凉防走光运动短裤,230711-537631200722634,已发货，待签收,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/12 1:35,"	","498401005805	","黑色,XL （建议100-125斤）","1414659797386	",#dd#230711-654521168702951#18059530840#2023-07-11#381513876094#29.9##;,无售后或售后取消,"463008479675326	",韵达快递,2023/7/11 15:02,否,,"	",
棉绸睡衣女夏季薄款短袖七分裤套装可外穿人造棉大码宽松家居服女,230711-435033282183953,未发货，退款成功,"64.6	","3.0	","0.0	","61.6	","61.6	","1	","	","	","497954216281	","2号色,4XL 【建议体重120-150斤】","1413937812632	","	",退款成功,"	","	",2023/7/11 15:01,否,,"	",
棉绸睡衣女夏季薄款短袖七分裤套装可外穿人造棉大码宽松家居服女,230711-118247966343953,已发货，待签收,"64.6	","5.0	","5.0	","54.6	","59.6	","1	",2023/7/13 10:32,"	","497954216281	","3号色,4XL 【建议体重120-150斤】","1413937812634	",#dd#230711-263638229822951#18059530840#2023-07-11#468020331099#20.1##;,无售后或售后取消,"463014088282349	",韵达快递,2023/7/11 15:04,否,,"	",
冰丝阔腿运动短裤女夏季薄款大码胖mm高腰宽松显瘦五分休闲中裤子,230711-542323588693828,已签收,"55.25	","5.0	","2.29	","47.96	","50.25	","1	",2023/7/13 2:01,2023/7/18 8:35,"498404375841	","黑色+粉红色【2件装】,3XL（建议145-160斤）","1414665284388	",#dd#230711-007623177022951#18059530840#2023-07-11#380595681868#18.91##;,无售后或售后取消,"777153832301385	",申通快递,2023/7/11 14:56,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230711-342103192340415,已签收,"96.05	","5.0	","0.0	","91.05	","91.05	","1	",2023/7/12 1:39,2023/7/22 9:39,"497984016735	","7SC-短长蓝底晚樱,XL（121-135斤）","1413983512325	",#dd#230711-154287481662951#18059530840#2023-07-11#234274278338#39##;,无售后或售后取消,"463008550252042	",韵达快递,2023/7/11 14:54,否,,"	",
法国进口纯亚麻九分裤宽松显瘦松紧腰大码棉麻哈伦裤小脚九分裤女,230711-288306011183835,已发货，退款成功,"89.25	","5.0	","0.0	","84.25	","84.25	","1	",2023/7/12 1:39,"	","498367213758	","亚麻色,2XL 120-130斤","1414603561181	",#dd#230711-304066139582951#18059530840#2023-07-11#362258272721#35.98##;,退款成功,"463008550224784	",韵达快递,2023/7/11 14:54,否,,"	",
美式复古hiphop嘻哈工装裤女直筒宽松高腰显瘦多口袋运动休闲裤子,230711-206642891731245,已发货，待签收,"75.65	","5.0	","5.0	","65.65	","70.65	","1	",2023/7/12 21:55,"	","498383038742	","灰色 【斜纹原版面料】,M","1414630005329	",#dd#230711-641172837822951#18059530840#2023-07-11#466814248755#28.5##;,售后处理中,"777153783535599	",申通快递,2023/7/11 14:53,否,,"	",
棉麻哈伦裤女夏2023新款高腰九分裤宽松休闲裤亚麻女裤萝卜七分裤,230711-304191927113337,已发货，退款成功,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/12 1:39,"	","498370869745	","粉色 【九分裤】,3XL 码建议143-155斤穿","1414609626312	",#dd#230711-033816615742951#18059530840#2023-07-11#335246842640#39.79##;,退款成功,"777154276151920	",申通快递,2023/7/11 14:50,否,,"	",
两件装棉麻七分裤女夏季宽松大码亚麻松紧腰小脚哈伦裤百搭休闲裤,230711-648041010603802,已签收,"90.1	","5.0	","0.0	","85.1	","85.1	","1	",2023/7/12 1:39,2023/7/22 1:39,"498367733224	","白色+天蓝【两件装】,XL 建议115-130斤","1414604790350	",#dd#230711-456744006462951#18059530840#2023-07-11#390538439484#36.5##;,无售后或售后取消,"463008550229973	",韵达快递,2023/7/11 14:43,否,,"	",
单两条纯棉短裤女夏新款阔腿宽松大码直筒高腰显瘦薄款休闲五分裤,230711-071518155642742,未发货，退款成功,"51.0	","5.0	","0.0	","46.0	","46.0	","1	","	","	","498393606798	","白色+绿色 【B003两条装】,XL 建议120-140斤","1414647890772	","	",退款成功,"	","	",2023/7/11 14:47,否,,"	",
多巴胺穿搭一整套冰丝阔腿裤女夏季薄款2023年新款垂感棉麻山本裤,230711-104134143491308,已取消,"133.45	","3.0	","0.0	","130.45	","130.45	","1	","	","	","498380777818	","灰色套装,M 【建议90-100斤】","1414626200638	","	",无售后或售后取消,"	","	","	","	",,"	",
多巴胺穿搭一整套冰丝阔腿裤女夏季薄款2023年新款垂感棉麻山本裤,230711-181896518531308,已取消,"133.45	","5.0	","0.0	","128.45	","128.45	","1	","	","	","498380777818	","灰色套装,M 【建议90-100斤】","1414626200638	","	",无售后或售后取消,"	","	","	","	",,"	",
亚麻阔腿裤女高腰垂感折扣商场清仓处理夏季棉麻女裤花苞腰直筒裤,230711-042892062392953,已发货，退款成功,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/13 1:01,"	","498369161630	","938灰色长裤,M 建议95-105斤","1414606852319	",#dd#230711-364935966142951#18059530840#2023-07-11#0#26.9##;,退款成功,"463016580285894	",韵达快递,2023/7/11 14:42,否,,"	",
美式复古hiphop嘻哈工装裤女直筒宽松高腰显瘦多口袋运动休闲裤子,230711-117472050622885,已发货，退款成功,"75.65	","5.0	","0.0	","70.65	","70.65	","1	",2023/7/12 21:55,"	","498383038742	","灰色 【斜纹原版面料】,M","1414630005329	",#dd#230711-284164156862951#18059530840#2023-07-11#466814248755#28.5##;,退款成功,"777153783538014	",申通快递,2023/7/11 14:40,否,,"	",
冰丝雪纺阔腿裤女夏季薄款坠感宽松显瘦九分休闲裤垂感高腰直筒裤,230711-651642837962148,已签收,"65.45	","5.0	","5.0	","55.45	","60.45	","1	",2023/7/12 1:39,2023/7/14 17:10,"498372516812	","蓝色,L 建议115-125斤","1414612387249	",#dd#230711-015980307262951#18059530840#2023-07-11#24939950722#24.8##;,无售后或售后取消,"777154276151347	",申通快递,2023/7/11 14:40,否,,"	",
【买一送一】冰丝睡衣女夏季套短袖薄款仿真丝网红夏天家居服套装,230711-149212384273811,未发货，退款成功,"75.65	","5.0	","0.0	","70.65	","70.65	","1	","	","	","498001812942	","【两件套】蓝雪熊+粉色猪,L码 【95-110斤】","1414010665375	",#dd#230711-578331678142951#18059530840#2023-07-11#228457492001#29.8##;,退款成功,"	","	",2023/7/11 14:36,否,,"	",
黑色防晒裤女夏季薄款小个子高腰垂感休闲直筒显瘦凉凉冰丝阔腿裤,230711-070406675490607,已发货，退款成功,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/12 10:13,"	","498380169167	","黑色【小个子款】,S","1414625353464	",#dd#230711-331287110462951#18059530840#2023-07-11#484053520136#29.9##;,退款成功,"463009071695414	",韵达快递,2023/7/11 14:36,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230711-061724507810058,已签收,"90.95	","5.0	","0.0	","85.95	","85.95	","1	",2023/7/12 17:55,2023/7/22 17:55,"498241710851	","蓝色,4XL（建议145-160斤）","1414396011746	",#dd#230711-114719518142951#18059530840#2023-07-11#345144408481#35.8##;,无售后或售后取消,"777153770079119	",申通快递,2023/7/11 14:35,否,,"	",
纯棉短裤女夏百搭五分裤2023新款文艺休闲松紧高腰显瘦口袋阔腿裤,230711-681826129520037,已取消,"55.25	","5.0	","0.0	","50.25	","50.25	","1	","	","	","498395592334	","黑色+绿色 【两条装】,XL 建议110-125斤","1414650980795	","	",无售后或售后取消,"	","	","	","	",,"	",
高档莫代尔棉睡衣女夏季薄款短袖七分裤大码宽松胖mm圆点家居服夏,230711-250557264951178,已签收,"102.0	","5.0	","0.0	","97.0	","97.0	","1	",2023/7/13 0:01,2023/7/23 8:01,"497981260235	","02-7007【莫代尔】,2XL 推荐140-160斤","1413979068598	",#dd#230711-291006063422951#18059530840#2023-07-11#469069021673#36.96##;,无售后或售后取消,"777153777195823	",申通快递,2023/7/11 14:33,否,,"	",
春夏季新款短袖棉绸女士中年妈妈睡衣套装大码宽松简约人棉家居服,230711-553365063132413,已签收,"75.65	","5.0	","0.0	","70.65	","70.65	","1	",2023/7/12 1:39,2023/7/22 9:39,"497944648079	","XLT端庄典雅,2XL （120-136斤）","1413922371373	",#dd#230711-510195178302951#18059530840#2023-07-11#461921018633#29.8##;,无售后或售后取消,"463008550234987	",韵达快递,2023/7/11 14:33,否,,"	",
【买一送一】自带胸垫新款睡衣女士夏季宽松条纹学生家居服两套装,230711-612001443220389,已发货，退款成功,"81.6	","5.0	","0.0	","76.6	","76.6	","1	",2023/7/12 1:39,"	","498216278749	","SD1104黑色+绿色 【实发两套,XL 建议110-125斤","1414354618489	",#dd#230711-386242978622951#18059530840#2023-07-11#478751201874#26.39##;,退款成功,"777154276151372	",申通快递,2023/7/11 14:32,否,,"	",
胖mm短裤女蕾丝小个子速干假两件遮肉休闲裤清凉防走光运动短裤,230711-291598560923557,未发货，退款成功,"76.5	","5.0	","0.0	","71.5	","71.5	","1	","	","	","498401005805	","白色,3XL （建议150-175斤）","1414659797398	",#dd#230711-677070837383040#17350128509#2023-07-11#381513876094#29.9##;,退款成功,"	","	",2023/7/11 14:31,否,,"	",
100%纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230711-556741467193845,已签收,"63.75	","5.0	","0.0	","58.75	","58.75	","1	",2023/7/12 1:39,2023/7/14 17:26,"498274982588	","全棉25232,XL 【115-130斤】","1414448705151	",#dd#230711-561250343943040#17350128509#2023-07-11#462812724748#21.98##;,无售后或售后取消,"777154276153243	",申通快递,2023/7/11 14:28,否,,"	",
纯棉短裤女夏百搭五分裤2023新款文艺休闲松紧高腰显瘦口袋阔腿裤,230711-222413526530269,已签收，退款成功,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/13 10:32,2023/7/23 10:36,"498395592334	","红色+焦糖 【两条装】,XL 建议110-125斤","1414650980840	",#dd#230711-220185250823040#17350128509#2023-07-11#222307586571#18.22##;,退款成功,"777153679281314	",申通快递,2023/7/11 14:28,否,,"	",
性感吊带睡裙女夏天纯欲nis2023年新款夏款小熊睡衣可外穿夏季,230711-402789538801190,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:39,2023/7/22 9:39,"498214212424	","假吊带绿眼,M 80-100斤","1414351430148	",#dd#230711-229166335623040#17350128509#2023-07-11#365583730442#14.79##;,无售后或售后取消,"777154276153139	",申通快递,2023/7/11 14:28,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230711-547912478341561,已签收,"96.05	","5.0	","5.0	","86.05	","91.05	","1	",2023/7/12 1:39,2023/7/22 9:39,"497984016735	","7SC-短长蓝底晚樱,XL（121-135斤）","1413983512325	",#dd#230711-647039610503040#17350128509#2023-07-11#234274278338#39##;,无售后或售后取消,"463008550234852	",韵达快递,2023/7/11 14:26,否,,"	",
冰丝阔腿裤女夏季学生韩版垂感宽松百搭高腰松紧薄款直筒裤长裤子,230711-451375349283532,已签收,"34.0	","5.0	","0.0	","29.0	","29.0	","1	",2023/7/13 10:32,2023/7/23 10:32,"498393038370	","冰丝阔腿裤黑色【九分裤】,3XL 建议150-165斤","1414646745991	",#dd#230711-414124656263040#17350128509#2023-07-11#114825731108#7.75##;,无售后或售后取消,"463014087835572	",韵达快递,2023/7/11 14:26,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230711-269048923641972,已签收,"90.95	","3.0	","0.0	","87.95	","87.95	","1	",2023/7/13 10:32,2023/7/23 10:32,"498241710851	","玫红,M （建议100斤内）","1414396011717	",#dd#230711-635536679943040#17350128509#2023-07-11#345144408481#35.8##;,无售后或售后取消,"777153679306922	",申通快递,2023/7/11 14:25,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230711-486895819641972,已发货，待签收,"90.95	","5.0	","0.0	","85.95	","85.95	","1	",2023/7/13 10:32,"	","498241710851	","绿色,M （建议100斤内）","1414396011699	",#dd#230711-088751523463040#17350128509#2023-07-11#345144408481#35.8##;,无售后或售后取消,"777153679251479	",申通快递,2023/7/11 14:25,否,,"	",
性感冰丝吊带睡裙睡衣女夏天薄款吊带睡衣女士高档睡衣大码辣妹裙,230711-288054394330542,已签收,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/12 1:39,2023/7/22 1:39,"498250125423	","酒红色,XL 115-130斤","1414409380035	",#dd#230711-490848962183040#17350128509#2023-07-11#472275306388#29.9##;,无售后或售后取消,"777154276152146	",申通快递,2023/7/11 14:25,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230711-349270230553974,已签收,"50.15	","5.0	","0.0	","45.15	","45.15	","1	",2023/7/12 1:39,2023/7/14 13:25,"498282700196	","676方格熊,L码 【98-115斤】","1414461455258	",#dd#230711-678486383623040#17350128509#2023-07-11#220495921553#17.8##;,无售后或售后取消,"777154276153127	",申通快递,2023/7/11 14:23,否,,"	",
棉绸睡衣女夏季短袖套装绵绸薄款家居服宽松人造棉布空调服可外穿,230711-600902214690133,已签收,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/12 1:39,2023/7/22 9:39,"498297789626	","黑白格子,2XL","1414487012843	",#dd#230711-322190765703040#17350128509#2023-07-11#14714962677#29.9##;,无售后或售后取消,"463008550230280	",韵达快递,2023/7/11 14:20,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230711-469410804682169,已签收,"96.05	","5.0	","0.0	","91.05	","91.05	","1	",2023/7/12 1:39,2023/7/14 18:54,"497984016735	","7SC-短长藕荷晚樱,L（101-120斤）","1413983512320	",#dd#230711-686418850823040#17350128509#2023-07-11#234274278338#39##;,无售后或售后取消,"463008550227824	",韵达快递,2023/7/11 14:19,否,,"	",
中老年人短袖体冰丝套装女2023新款妈妈套装老太太奶奶夏季t桖,230711-059732182573637,未发货，退款成功,"46.75	","5.0	","0.0	","41.75	","41.75	","1	","	","	","498002437541	","黑白条 （引流款）,2XL 适合80-120斤","1414011969678	",#dd#230711-263150652423040#17350128509#2023-07-11#477488848164#10.88##;,退款成功,"	","	",2023/7/11 14:19,否,,"	",
冰丝灰色运动裤女夏季薄款宽松速干胖mm高腰冰丝阔腿大小个子裤子,230711-492537137921376,未发货，退款成功,"63.58	","5.0	","0.0	","58.58	","58.58	","1	","	","	","498389761427	","黑色小个子 建议1米60以下,M 80-100斤","1414641566554	","	",退款成功,"	","	",2023/7/11 14:18,否,,"	",
妈妈棉质夏装中老年人女装夏天老年套头奶奶宽松T恤衣服老人套装,230711-062337862652666,已签收,"44.2	","5.0	","2.0	","37.2	","39.2	","1	",2023/7/12 1:39,2023/7/15 20:27,"497994826049	","藏青叶【上衣】,【XXL】建议10 0-120斤","1414000031387	",#dd#230711-038257325063040#17350128509#2023-07-11#222800972354#9.99##;,无售后或售后取消,"463008550246186	",韵达快递,2023/7/11 14:12,否,,"	",
睡衣女夏季冰丝短袖2021新款韩版V领薄款仿真丝绸家居服两件套装,230711-099268761061100,已签收,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/13 10:28,2023/7/18 15:17,"497949373095	","V领红色金花+V领百合花杏,2XL 【125-145斤】","1413930005285	",#dd#230711-630278091783040#17350128509#2023-07-11#227107608999#39.9##;,无售后或售后取消,"777153807785831	",申通快递,2023/7/11 14:10,否,,"	",
300斤睡衣女夏季薄款冰丝短袖套装新款可爱性感纯欲可外穿家居服,230711-666123641871666,已发货，退款成功,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/13 10:28,"	","498240847913	","白色,XL 150-190斤","1414394157616	",#dd#230711-351440813703040#17350128509#2023-07-11#448226108507#23.87##;,退款成功,"777153779178258	",申通快递,2023/7/11 14:07,否,,"	",
深灰色冰丝阔腿裤女春夏薄款高腰垂感宽松胖mm显瘦休闲防蚊凉凉裤,230711-089915401091802,已发货，退款成功,"61.2	","5.0	","0.0	","56.2	","56.2	","1	",2023/7/12 1:39,"	","498377258517	","黑色常规款有口袋 身高159-173,3XL 建议145-160斤","1414620673081	",#dd#230711-221590363143040#17350128509#2023-07-11#377549972421#22.8##;,退款成功,"777154276154870	",申通快递,2023/7/11 14:02,否,,"	",
窄版冰丝阔腿裤女有口袋夏季薄款高腰垂坠感防晒直筒休闲拖地长裤,230711-208462202433772,已签收,"77.35	","5.0	","0.0	","72.35	","72.35	","1	",2023/7/12 1:39,2023/7/22 9:39,"498384165187	","米白色-常规【有口袋】,XL码 【适合115-125斤】","1414631984331	",#dd#230711-206695320583040#17350128509#2023-07-11#471857592768#19.79##;,无售后或售后取消,"463008550223848	",韵达快递,2023/7/11 14:01,否,,"	",
亚麻阔腿裤女高腰垂感2023字母松紧腰棉麻女裤宽松显瘦拖地长裤子,230711-198752357142925,已发货，退款成功,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/12 1:39,"	","498382503935	","卡其色,L 建议105-115斤","1414629108854	",#dd#230711-062930359943040#17350128509#2023-07-11#462151508603#29.9##;,退款成功,"777154276152875	",申通快递,2023/7/11 14:00,否,,"	",
棉绸连衣裙女夏外穿小个子短袖时尚洋气睡裙妈妈年轻2023新款裙子,230711-358618264610229,未发货，退款成功,"55.25	","5.0	","3.0	","47.25	","50.25	","1	","	","	","498235547750	","Q02无袖(1)蓝百合,2XL（建议115-125斤）","1414385640148	",#dd#230711-666899608583040#17350128509#2023-07-11#234566432155#16.79##;,退款成功,"	","	",2023/7/11 13:53,否,,"	",
棉麻冰丝速干哈伦裤女夏季薄款凉凉空调裤杏色抽绳束脚休闲山本裤,230711-284819465130366,已签收,"116.0	","5.0	","0.0	","111.0	","111.0	","1	",2023/7/12 8:53,2023/7/22 8:53,"498375391916	","杏色,2XL 建议体重（140-160）斤","1414617508701	",#dd#230711-290754415623040#17350128509#2023-07-11#488739083760#39.9##;,无售后或售后取消,"777154329293486	",申通快递,2023/7/11 13:53,否,,"	",
法国进口纯亚麻九分裤宽松显瘦松紧腰大码棉麻哈伦裤小脚九分裤女,230711-245466418182340,已签收,"89.25	","5.0	","0.0	","84.25	","84.25	","1	",2023/7/12 1:34,2023/7/22 9:34,"498367213758	","浅灰色,4XL 140-160斤","1414603561195	",#dd#230711-620998225543040#17350128509#2023-07-11#362258272721#35.98##;,无售后或售后取消,"463008522571914	",韵达快递,2023/7/11 13:52,否,,"	",
UPF50+冰丝阔腿裤女夏季薄款高腰垂感小个子直筒休闲凉凉防晒裤,230711-507605185293702,已发货，退款成功,"67.1	","5.0	","0.0	","62.1	","62.1	","1	",2023/7/12 1:39,"	","498403131033	","黑色【常规款】 建议身高153-16,S 【80-105斤】触感冰凉","1414663222972	",#dd#230711-131019642302951#18059530840#2023-07-11#486305433383#25.9##;,退款成功,"463008550235186	",韵达快递,2023/7/11 13:52,否,,"	",
夏季镂空运动裤女薄款宽松阔腿束脚裤网纱裤子显瘦休闲速干空调裤,230711-327407409982072,已签收,"72.25	","5.0	","0.0	","67.25	","67.25	","1	",2023/7/12 1:39,2023/7/22 9:39,"498386511934	","白色,M","1414635871735	",#dd#230711-593630412423040#17350128509#2023-07-11#383586099112#27.9##;,无售后或售后取消,"777154276151207	",申通快递,2023/7/11 13:52,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230711-566828747813889,已签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/12 17:24,2023/7/14 21:10,"498000631123	","A25233 全棉,XL 【115-130斤】","1414008760751	",#dd#230711-502572010503040#17350128509#2023-07-11#474405619066#22.5##;,无售后或售后取消,"777153798602845	",申通快递,2023/7/11 13:51,否,,"	",
【买一送一】自带胸垫新款睡衣女士夏季宽松条纹学生家居服两套装,230711-654342962873456,已签收,"81.6	","5.0	","0.0	","76.6	","76.6	","1	",2023/7/12 8:53,2023/7/17 14:07,"498216278749	","SD1104绿色+黄色 【实发两套,XL 建议110-125斤","1414354618465	",#dd#230711-664063200263040#17350128509#2023-07-11#478751201874#26.39##;,无售后或售后取消,"777154329592220	",申通快递,2023/7/11 13:50,否,,"	",
棉绸连衣裙女夏外穿小个子短袖时尚洋气睡裙妈妈年轻2023新款裙子,230711-256036054053009,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 17:58,2023/7/18 22:14,"498235547750	","新无袖-2-柳绿花白,4XL（建议140-170斤）","1414385640120	",#dd#230711-214779851783040#17350128509#2023-07-11#234566432155#16.79##;,无售后或售后取消,"463015567460267	",韵达快递,2023/7/11 13:48,否,,"	",
睡衣女夏季少女短袖七分裤夏天卡通可爱韩版加大码宽松家居服套装,230711-061834608252913,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:39,2023/7/18 11:44,"497953576637	","907短袖七分裤套装女,L","1413936437073	",#dd#230711-519076617223040#17350128509#2023-07-11#136330246093#19.8##;,无售后或售后取消,"777154276152316	",申通快递,2023/7/11 13:45,否,,"	",
单两条纯棉短裤女夏新款阔腿宽松大码直筒高腰显瘦薄款休闲五分裤,230711-124009891230432,已发货，退款成功,"33.32	","5.0	","0.0	","28.32	","28.32	","1	",2023/7/13 10:32,"	","498393606798	","卡其 【B003单条装】,3XL 建议160-180斤","1414647890884	",#dd#230711-255925974023040#17350128509#2023-07-11#355926272712#9.8##;,退款成功,"777153680326597	",申通快递,2023/7/11 13:45,否,,"	",
紫色冰丝运动短裤女夏季2023薄款中裤高腰直筒阔腿宽松五分裤子潮,230711-313073407662089,已发货，退款成功,"73.7	","5.0	","0.0	","68.7	","68.7	","1	",2023/7/12 1:39,"	","498376076116	","米白色【冰丝面料】,XL 【建议125-140斤】","1414618449547	",#dd#230711-507395491463040#17350128509#2023-07-11#490406349465#23.8##;,退款成功,"777154276154625	",申通快递,2023/7/11 13:44,否,,"	",
亚麻阔腿裤女高腰垂感折扣商场清仓处理夏季棉麻女裤花苞腰直筒裤,230711-166765567010703,已签收,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/13 10:32,2023/7/23 10:32,"498369161630	","938灰色长裤,3XL 建议135-155斤","1414606852323	",#dd#230711-482711991303040#17350128509#2023-07-11#464233083968#26.9##;,无售后或售后取消,"777153679295058	",申通快递,2023/7/11 13:44,否,,"	",
单两条纯棉短裤女夏新款阔腿宽松大码直筒高腰显瘦薄款休闲五分裤,230711-554701976480783,已签收,"33.32	","5.0	","0.0	","28.32	","28.32	","1	",2023/7/13 10:28,2023/7/23 10:28,"498393606798	","黑色 【B003单条装】,3XL 建议160-180斤","1414647890874	",#dd#230711-514620158983040#17350128509#2023-07-11#355926272712#9.8##;,无售后或售后取消,"777153774806012	",申通快递,2023/7/11 13:40,否,,"	",
天丝牛仔短裤子女夏新款薄冰丝休闲五分宽松阔腿高腰a字热裤大码,230711-460303901553030,已取消,"44.88	","5.0	","0.0	","39.88	","39.88	","1	","	","	","498400479862	","浅蓝,L（110-140斤）","1414658742470	","	",无售后或售后取消,"	","	","	","	",,"	",
睡衣女夏季少女短袖七分裤夏天卡通可爱韩版加大码宽松家居服套装,230711-118667427452913,未发货，退款成功,"55.25	","5.0	","0.0	","50.25	","50.25	","1	","	","	","497953576637	","907短袖七分裤套装女,S","1413936437071	","	",退款成功,"	","	",2023/7/11 13:37,否,,"	",
法国进口纯亚麻九分裤宽松显瘦松紧腰大码棉麻哈伦裤小脚九分裤女,230711-682937588561150,未发货，退款成功,"89.25	","5.0	","0.0	","84.25	","84.25	","1	","	","	","498367213758	","白色,2XL 120-130斤","1414603561187	","	",退款成功,"	","	",2023/7/11 13:37,否,,"	",
【买一送一】夏季薄款短袖睡衣女学生甜美短裤卡通家居服两件套装,230711-662343525232840,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:39,2023/7/22 1:39,"497991683684	","汽车熊+米黄小熊,L 建议90-105斤","1413995309321	",#dd#230711-120476200583040#17350128509#2023-07-11#456636135567#25##;,无售后或售后取消,"777154276152377	",申通快递,2023/7/11 13:36,否,,"	",
高档莫代尔棉睡衣女夏季薄款短袖七分裤大码宽松胖mm圆点家居服夏,230711-153202236312931,已签收,"102.0	","5.0	","1.0	","96.0	","97.0	","1	",2023/7/13 10:32,2023/7/19 21:32,"497981260235	","02-7005【莫代尔】,XL 推荐120-140斤","1413979068583	",#dd#230711-352012215303040#17350128509#2023-07-11#469069021673#36.96##;,无售后或售后取消,"777153680324203	",申通快递,2023/7/11 13:36,否,,"	",
睡衣女夏季冰丝短袖2021新款韩版V领薄款仿真丝绸家居服两件套装,230711-614339715931388,已发货，退款成功,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/13 10:32,"	","497949373095	","V领红色金花+V领百合花杏,M 【70-95斤】","1413930005282	",#dd#230711-403329545223040#17350128509#2023-07-11#227107608999#39.9##;,退款成功,"777153679266521	",申通快递,2023/7/11 13:35,否,,"	",
棉麻哈伦裤女夏2023新款高腰九分裤宽松休闲裤亚麻女裤萝卜七分裤,230711-381566402072360,已签收,"80.5	","5.0	","0.0	","75.5	","75.5	","1	",2023/7/12 1:39,2023/7/16 12:01,"498370869745	","浅卡其色 【九分裤】,L 码建议103-116斤穿","1414609626279	",#dd#230711-034068315783040#17350128509#2023-07-11#335246842640#39.79##;,无售后或售后取消,"777154276156557	",申通快递,2023/7/11 13:33,否,,"	",
紫色冰丝运动短裤女夏季2023薄款中裤高腰直筒阔腿宽松五分裤子潮,230711-636454214503375,已发货，退款成功,"63.25	","5.0	","1.12	","57.13	","58.25	","1	",2023/7/12 1:39,"	","498376076116	","701灰色【高档面料】,L 【建议110-125斤】","1414618449561	",#dd#230711-494681465863040#17350128509#2023-07-11#490406349465#19.9##;,退款成功,"777154276152249	",申通快递,2023/7/11 13:32,否,,"	",
棉麻冰丝速干哈伦裤女夏季薄款凉凉空调裤杏色抽绳束脚休闲山本裤,230711-635730707950133,已签收,"89.7	","5.0	","0.0	","84.7	","84.7	","1	",2023/7/12 8:53,2023/7/22 8:53,"498375391916	","黑色,2XL 建议体重（140-160）斤","1414617508695	",#dd#230711-635594393223040#17350128509#2023-07-11#488739083760#39.9##;,无售后或售后取消,"777154329558919	",申通快递,2023/7/11 13:31,否,,"	",
夏季睡衣女冰丝夏韩版清新V领薄款印花仿真丝绸套装可外穿家居服,230711-471859239992899,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/12 1:39,2023/7/19 23:06,"497948772969	","815#米色树叶【优质款】,M （85-100斤）","1413928850248	",#dd#230711-127076965383040#17350128509#2023-07-11#125727851916#18.8##;,无售后或售后取消,"777154276152559	",申通快递,2023/7/11 13:31,否,,"	",
